Code Length,Code,Title Updated,Description Updated
4,3323,Architectural and Structural Metals Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing one or more of the following: (1) prefabricated metal buildings, panels, and sections; (2) structural metal products; (3) metal plate work products; (4) metal framed windows (i.e., typically using purchased glass) and metal doors; (5) sheet metal work; and (6) ornamental and architectural metal products.
"
4,3324,"Boiler, Tank, and Shipping Container Manufacturing","This industry group comprises establishments primarily engaged in one of the following: (1) manufacturing power boilers and heat exchangers; (2) cutting, forming, and joining heavy gauge metal to manufacture tanks, vessels, and other containers; or (3) forming light gauge metal containers.
"
4,3325,Hardware Manufacturing,"This industry comprises establishments primarily engaged in manufacturing metal hardware, such as metal hinges, metal handles, keys, and locks (except coin- or card-operated, time locks).

Cross-References. Establishments primarily engaged in--"
4,3326,Spring and Wire Product Manufacturing,"This industry comprises establishments primarily engaged in (1) manufacturing steel springs by forming, such as cutting, bending, and heat winding, metal rod or strip stock and/or (2) manufacturing wire springs and fabricated wire products from wire drawn elsewhere (except watch and clock springs).

Cross-References. Establishments primarily engaged in--"
4,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing","This industry group comprises establishments primarily engaged in one of the following: (1) operating machine shops primarily engaged in machining metal and plastic parts and parts of other composite materials on a job or order basis; (2) machining precision turned products; or (3) manufacturing metal bolts, nuts, screws, rivets, and other industrial fasteners.
"
4,3328,"Coating, Engraving, Heat Treating, and Allied Activities","This industry comprises establishments primarily engaged in one or more of the following: (1) heat treating metals and metal products; (2) enameling, lacquering, and varnishing metals and metal products; (3) hot dip galvanizing metals and metal products; (4) engraving, chasing, or etching metals and metal products (except jewelry; personal goods carried on or about the person, such as compacts and cigarette cases; precious metal products (except precious plated flatware and other plated ware); and printing plates); (5) powder coating metals and metal products; (6) electroplating, plating, anodizing, coloring, and finishing metals and metal products; and (7) providing other metal surfacing services for the trade.  Establishments in this industry coat, engrave, and heat treat metals and metal formed products fabricated elsewhere.  Included in this industry are establishments that perform these processes on other materials, such as plastics, in addition to metals.

Cross-References. Establishments primarily engaged in--"
4,3329,Other Fabricated Metal Product Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing fabricated metal products (except forgings and stampings, cutlery and handtools, architectural and structural metals, boilers, tanks, shipping containers, hardware, spring and wire products, machine shop products, turned products, screws, and nuts and bolts).
"
4,3331,"Agriculture, Construction, and Mining Machinery Manufacturing","This industry group comprises establishments primarily engaged in manufacturing one or more of the following: (1) farm machinery and equipment, power mowing equipment, and other powered home lawn and garden equipment; (2) construction machinery, surface mining machinery, and logging equipment; and (3) oil and gas field and underground mining machinery and equipment.
"
4,3332,Industrial Machinery Manufacturing,"This industry comprises establishments primarily engaged in manufacturing industrial machinery, such as food and beverage manufacturing machinery, semiconductor manufacturing machinery, sawmill and woodworking machinery (except handheld), machinery for making paper and paper products, printing and binding machinery and equipment, textile making machinery, and machinery for making plastics and rubber products.

Cross-References. Establishments primarily engaged in--"
4,3333,Commercial and Service Industry Machinery Manufacturing,"This industry comprises establishments primarily engaged in manufacturing commercial and service industry machinery, such as optical instruments and lenses (except ophthalmic), photographic and photocopying equipment, automatic vending machinery, commercial laundry and drycleaning machinery, office machinery, automotive maintenance equipment (except mechanics' handtools), and commercial-type cooking equipment.

Cross-References. Establishments primarily engaged in--"
4,3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing","This industry comprises establishments primarily engaged in manufacturing ventilating, heating, air-conditioning, and commercial and industrial refrigeration and freezer equipment.

Illustrative Examples:

Air-conditioner filters manufacturing
Air-conditioning and warm air heating combination units manufacturing
Attic fans manufacturing
Dust and fume collecting equipment manufacturing 
Gas fireplaces manufacturing
Heating boilers manufacturing
Industrial and commercial-type fans manufacturing
Refrigerated counter and display cases manufacturing
Refrigerated drinking fountains manufacturing
Space heaters (except portable electric) manufacturing 


Cross-References. Establishments primarily engaged in--"
4,3335,Metalworking Machinery Manufacturing,"This industry comprises establishments primarily engaged in manufacturing metalworking machinery, such as metal cutting and metal forming machine tools; cutting tools; accessories for metalworking machinery; special dies, tools, jigs, and fixtures; industrial molds; rolling mill machinery; assembly machinery; coil handling, conversion, or straightening equipment; and wire drawing and fabricating machines.

Cross-References. Establishments primarily engaged in--"
4,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing","This industry comprises establishments primarily engaged in manufacturing turbines, power transmission equipment, and internal combustion engines (except automotive gasoline and aircraft).

Illustrative Examples:

Clutches and brakes (except electromagnetic industrial controls, motor vehicle) manufacturing
Diesel and semidiesel engines manufacturing
Electric outboard motors manufacturing
Internal combustion engines for hybrid drive systems (except automotive) manufacturing
Plain bearings (except internal combustion engine) manufacturing
Power transmission pulleys manufacturing
Plain bushings (except internal combustion engine) manufacturing
Speed changers (i.e., power transmission equipment) manufacturing
Speed reducers (i.e., power transmission equipment) manufacturing
Turbine generator set units manufacturing
Universal joints (except aircraft, motor vehicle) manufacturing


Cross-References. Establishments primarily engaged in--"
4,3339,Other General Purpose Machinery Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing pumps and compressors, material handling equipment, and all other general purpose machinery (except ventilation, heating, air-conditioning, and commercial refrigeration equipment; metalworking machinery; and engines, turbines, and power transmission equipment).
"
4,3341,Computer and Peripheral Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing and/or assembling electronic computers, such as mainframes, personal computers, workstations, laptops, and computer servers; and computer peripheral equipment, such as storage devices, printers, monitors, and input/output devices and terminals.  Computers can be analog, digital, or hybrid.  Digital computers, the most common type, are devices that do all of the following: (1) store the processing program or programs and the data immediately necessary for the execution of the program; (2) can be freely programmed in accordance with the requirements of the user; (3) perform arithmetical computations specified by the user; and (4) execute, without human intervention, a processing program that requires the computer to modify its execution by logical decision during the processing run.  Analog computers are capable of simulating mathematical models and comprise at least analog, control, and programming elements.

Cross-References. Establishments primarily engaged in--"
4,3342,Communications Equipment Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing wire telephone and data communications equipment, radio and television broadcast and wireless communications equipment, and all other communications equipment.
"
4,3343,Audio and Video Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing electronic audio and video equipment for home entertainment, motor vehicles, and public address and musical instrument amplification.  Examples of products made by these establishments are digital video recorders, televisions, stereo equipment, speaker systems, household-type video cameras, jukeboxes, and amplifiers for musical instruments and public address systems.

Cross-References. Establishments primarily engaged in--"
4,3344,Semiconductor and Other Electronic Component Manufacturing,"This industry comprises establishments primarily engaged in manufacturing semiconductors and other components for electronic applications.  Examples of products made by these establishments are capacitors, resistors, microprocessors, bare and loaded printed circuit boards, electron tubes, electronic connectors, and computer modems.

Cross-References. Establishments primarily engaged in--"
4,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing","This industry comprises establishments primarily engaged in manufacturing navigational, measuring, electromedical, and control instruments.  Examples of products made by these establishments are aeronautical instruments, appliance regulators and controls (except switches), laboratory analytical instruments, navigation and guidance systems, and physical properties testing equipment.

Cross-References. Establishments primarily engaged in--"
4,3346,Manufacturing and Reproducing Magnetic and Optical Media,"This industry comprises establishments primarily engaged in (1) manufacturing optical and magnetic media, such as blank audio tapes, blank video tapes, and blank diskettes, and/or (2) mass duplicating (i.e., making copies) audio, video, software, and other data on magnetic, optical, and similar media.  These establishments do not generally develop software or produce audio or video content.

Cross-References. Establishments primarily engaged in--"
4,3351,Electric Lighting Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing electric lighting fixtures (except vehicular), nonelectric lighting equipment, lamp shades (except glass and plastics), electric light bulbs, tubes, and parts (except glass blanks for electric light bulbs and light emitting diodes (LEDs)), and lighting fixture components (except current-carrying wiring devices).

Cross-References. Establishments primarily engaged in--"
4,3352,Household Appliance Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing small electric appliances, electric housewares, and major household appliances.
"
4,3353,Electrical Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing power, distribution, and specialty transformers; electric motors, generators, and motor generator sets; switchgear and switchboard apparatus; relays; and industrial controls.

Cross-References. Establishments primarily engaged in--"
4,3359,Other Electrical Equipment and Component Manufacturing,"This industry group comprises establishments manufacturing electrical equipment and components (except electric lighting equipment, household-type appliances, transformers, switchgear, relays, motors, and generators).
"
4,3361,Motor Vehicle Manufacturing,"This industry group comprises establishments primarily engaged in (1) manufacturing complete automobiles, light duty motor vehicles, and heavy duty trucks (i.e., body and chassis or unibody) or (2) manufacturing motor vehicle chassis only.
"
4,3362,Motor Vehicle Body and Trailer Manufacturing,"This industry comprises establishments primarily engaged in (1) manufacturing motor vehicle bodies and cabs or (2) manufacturing truck, automobile and utility trailers, truck trailer chassis, detachable trailer bodies, and detachable trailer chassis.  The products made may be sold separately or may be assembled on purchased chassis and sold as complete vehicles.  Motor homes are units where the motor and the living quarters are contained in the same integrated unit, while travel trailers are designed to be towed by a motor unit, such as an automobile or a light truck.

Illustrative Examples:

Bodies and cabs, truck, manufacturing
Camper units, slide-in, for pick-up trucks, manufacturing
Pick-up canopies, caps, or covers manufacturing
Motor homes, self-contained, assembling on purchased chassis
Semi-trailers manufacturing
Travel trailers, recreational, manufacturing


Cross-References. Establishments primarily engaged in--"
4,3363,Motor Vehicle Parts Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing motor vehicle gasoline engines and engine parts, motor vehicle electrical and electronic equipment, motor vehicle steering and suspension components (except springs), motor vehicle brake systems, motor vehicle transmission and power train parts, motor vehicle seating and interior trim, motor vehicle metal stampings, and other motor vehicle parts and accessories.  This industry group includes establishments that rebuild motor vehicle parts.
"
4,3364,Aerospace Product and Parts Manufacturing,"This industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing complete aircraft, missiles, or space vehicles; (2) manufacturing aerospace engines, propulsion units, auxiliary equipment, or parts; (3) developing and making prototypes of aerospace products; (4) aircraft conversion (i.e., major modifications to systems); and (5) complete aircraft or propulsion systems overhaul and rebuilding (i.e., periodic restoration of aircraft to original design specifications).

Cross-References."
4,3365,Railroad Rolling Stock Manufacturing,"This industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing and/or rebuilding locomotives, locomotive frames, and parts; (2) manufacturing railroad, street, and rapid transit cars and car equipment for operation on rails for freight and passenger service; and (3) manufacturing rail layers, ballast distributors, rail tamping equipment, and other railway track maintenance equipment.

Cross-References."
4,3366,Ship and Boat Building,"This industry comprises establishments primarily engaged in operating shipyards or boat yards (i.e., ship or boat manufacturing facilities).  Shipyards are fixed facilities with drydocks and fabrication equipment capable of building a ship, defined as watercraft typically suitable or intended for other than personal or recreational use.  Boats are defined as watercraft typically suitable or intended for personal use.  Activities of shipyards include the construction of ships, their repair, conversion and alteration, production of prefabricated ship and barge sections, and specialized services, such as ship scaling.

Illustrative Examples:

Barge building
Boat yards (i.e., boat manufacturing facilities)
Cargo ship building
Drilling and production platforms, floating, oil and gas, building
Passenger ship building
Inflatable plastic boats, heavy-duty, manufacturing
Inflatable rubber boats, heavy-duty, manufacturing
Rigid inflatable boats (RIBs) manufacturing
Boats (e.g., motorboats, rowboats, canoes, kayaks) manufacturing 


Cross-References. Establishments primarily engaged in--"
4,3369,Other Transportation Equipment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing motorcycles, bicycles, metal tricycles, complete military armored vehicles, tanks, self-propelled weapons, vehicles pulled by draft animals, and other transportation equipment (except motor vehicles, boats, ships, railroad rolling stock, and aerospace products), including parts thereof.

Cross-References. Establishments primarily engaged in--"
4,3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,"This industry group comprises establishments manufacturing household-type furniture, such as living room, kitchen and bedroom furniture and institutional (i.e., public building) furniture, such as furniture for schools, theaters, and churches.
"
4,3372,Office Furniture (including Fixtures) Manufacturing,"This industry comprises establishments primarily engaged in manufacturing office furniture and/or office and store fixtures.  The furniture may be made on a stock or custom basis and may be assembled or unassembled (i.e., knockdown).

Cross-References. Establishments primarily engaged in--"
4,3379,Other Furniture Related Product Manufacturing,"This industry group comprises establishments manufacturing furniture related products, such as mattresses, blinds, and shades.
"
4,3391,Medical Equipment and Supplies Manufacturing,"This industry comprises establishments primarily engaged in manufacturing medical equipment and supplies.  Examples of products made by these establishments are surgical and medical instruments, surgical appliances and supplies, dental equipment and supplies, orthodontic goods, ophthalmic goods, dentures, and orthodontic appliances.

Cross-References. Establishments primarily engaged in--"
4,3399,Other Miscellaneous Manufacturing,"This industry group comprises establishments primarily engaged in miscellaneous manufacturing, such as jewelry and silverware manufacturing, sporting and athletic goods manufacturing, doll, toy, and game manufacturing, office supplies (except paper) manufacturing, sign manufacturing, and all other miscellaneous manufacturing.
"
4,4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of automobiles and other motor vehicles, motor vehicle supplies, tires, and new and used parts.
"
4,4232,Furniture and Home Furnishing Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of furniture (except hospital beds, medical furniture, and drafting tables), home furnishings, and/or housewares.
"
4,4233,Lumber and Other Construction Materials Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of lumber, plywood, millwork, and wood panels; brick, stone, and related construction materials; roofing, siding, and insulation materials; and other construction materials, including manufactured homes (i.e., mobile homes) and/or prefabricated buildings.
"
4,4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of photographic equipment and supplies; office, computer, and computer peripheral equipment; and medical, dental, hospital, ophthalmic, and other commercial and professional equipment and supplies.
"
4,4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of products of the primary metals industries (including metal service centers) and coal, coke, metal ores, and/or nonmetallic minerals (except precious and semiprecious stones and minerals used in construction).
"
4,4236,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of electrical apparatus and equipment, wiring supplies, and related equipment; household appliances, electric housewares, and consumer electronics; and other electronic parts and equipment.
"
4,4237,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers","This industry group comprises establishments primarily engaged in the merchant wholesale distribution of hardware; plumbing and heating equipment and supplies (hydronics); warm air heating and air-conditioning equipment and supplies; and refrigeration equipment and supplies.
"
4,4238,"Machinery, Equipment, and Supplies Merchant Wholesalers","This industry group comprises establishments primarily engaged in the merchant wholesale distribution of construction, mining, farm, garden, industrial, service establishment, and transportation machinery, equipment, and supplies.
"
4,4239,Miscellaneous Durable Goods Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of sporting, recreational, toy, hobby, and jewelry goods and supplies, and precious stones and metals.
"
4,4241,Paper and Paper Product Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of bulk printing and writing paper; stationery and office supplies; and industrial and personal service paper. 
"
4,4242,Drugs and Druggists' Sundries Merchant Wholesalers,"This industry comprises establishments primarily engaged in the merchant wholesale distribution of biological and medical products; botanical drugs and herbs; and pharmaceutical products intended for internal and/or external consumption in such forms as ampoules, tablets, capsules, vials, ointments, powders, solutions, and suspensions.

Illustrative Examples:

Antibiotics merchant wholesalers
Endocrine substances merchant wholesalers
Blood derivatives merchant wholesalers
In-vitro and in-vivo diagnostics merchant wholesalers
Drugs merchant wholesalers
Botanicals merchant wholesalers
Vaccines merchant wholesalers
Cosmetics merchant wholesalers
Vitamins merchant wholesalers
Veterinarians' medicines merchant wholesalers


Cross-References."
4,4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers","This industry group comprises establishments primarily engaged in the merchant wholesale distribution of piece goods, notions, and other dry goods; footwear; and clothing and clothing accessories.
"
4,4244,Grocery and Related Product Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of (1) a general line of groceries; (2) packaged frozen food; (3) dairy products; (4) poultry and poultry products; (5) confectioneries; (6) fish and seafood; (7) meats and meat products; (8) fresh fruits and vegetables; and (9) other grocery and related products.
"
4,4245,Farm Product Raw Material Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of agricultural products (except raw milk, live poultry, and fresh fruits and vegetables), such as grains, field beans, livestock, and other farm product raw materials (excluding seeds).
"
4,4246,Chemical and Allied Products Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of chemicals, plastics materials and basic forms and shapes, and allied products.
"
4,4247,Petroleum and Petroleum Products Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of petroleum and petroleum products, including liquefied petroleum gas.
"
4,4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers","This industry group comprises establishments primarily engaged in the merchant wholesale distribution of beer, ale, wine, and/or distilled alcoholic beverages.
"
4,4249,Miscellaneous Nondurable Goods Merchant Wholesalers,"This industry group comprises establishments primarily engaged in the merchant wholesale distribution of nondurable goods, such as farm supplies; books, periodicals, and newspapers; flowers; nursery stock; paints; varnishes; tobacco and tobacco products; and other miscellaneous nondurable goods, such as cut Christmas trees and pet supplies.
"
4,4251,Wholesale Trade Agents and Brokers,"This industry comprises wholesale trade agents and brokers acting on behalf of buyers or sellers in the wholesale distribution of goods, including those that use the Internet or other electronic means to bring together buyers and sellers.  Agents and brokers do not take title to the goods being sold but rather receive a commission or fee for their service.  Agents and brokers for all durable and nondurable goods are included in this industry.

Illustrative Examples:

Independent sales representatives
Manufacturers' sales representatives
Group purchasing organizations (acting as agents for goods distribution)


Cross-References."
4,4411,Automobile Dealers,"This industry group comprises establishments primarily engaged in retailing new and used automobiles and light trucks, such as sport utility vehicles, and passenger and cargo vans.
"
4,4412,Other Motor Vehicle Dealers,"This industry group comprises establishments primarily engaged in retailing new and used vehicles (except automobiles, light trucks, such as sport utility vehicles, and passenger and cargo vans).
"
4,4413,"Automotive Parts, Accessories, and Tire Retailers","This industry group comprises establishments primarily engaged in retailing new, used, and/or rebuilt automotive parts and accessories, including tires and tubes.  Included in this industry group are establishments primarily engaged in retailing automotive parts and accessories in combination with automotive repair services.
"
4,4441,Building Material and Supplies Dealers,This industry group comprises establishments primarily engaged in retailing new building materials and supplies.
4,4442,Lawn and Garden Equipment and Supplies Retailers,"This industry group comprises establishments primarily engaged in retailing new lawn and garden equipment and supplies.
"
4,4451,Grocery and Convenience Retailers,"This industry group comprises establishments primarily engaged in retailing a general line of food products. This industry group also includes vending machine operators.
"
4,4452,Specialty Food Retailers,"This industry group comprises establishments primarily engaged in retailing specialized lines of food not for immediate consumption.
"
4,4453,"Beer, Wine, and Liquor Retailers","This industry comprises establishments primarily engaged in retailing packaged alcoholic beverages, such as ale, beer, wine, and liquor.

Cross-References. Establishments primarily engaged in--"
4,4491,Furniture and Home Furnishings Retailers,"This industry group comprises establishments primarily engaged in retailing new furniture and home furnishings.  Establishments in this industry group with fixed point-of-sale locations may operate from showrooms and have substantial areas for the presentation of their products.  Establishments in this industry group may provide incidental services, including interior decorating, product assembly, installation, or repair services.
"
4,4492,Electronics and Appliance Retailers,"This industry comprises establishments primarily engaged in one of the following: (1) retailing an array of new household-type appliances and consumer-type electronic products, such as televisions, computers, electronic tablets, and cameras; (2) specializing in retailing a single line of new consumer-type electronic products; (3) retailing these new products in combination with repair and support services; (4) retailing new prepackaged or downloadable computer software (without publishing); and/or (5) retailing prerecorded audio and video media, such as downloadable digital music and video files (without production or publishing), CDs, and DVDs.

Illustrative Examples:

Appliance retailers, household-type
Consumer-type electronics retailers (e.g., televisions, computers, cameras)
Cellular telephone accessories retailers
Stereo and sound system retailers (except automotive) 


Cross-References. Establishments primarily engaged in--"
4,4551,Department Stores,"This industry comprises establishments generally known as department stores that have separate departments for general lines of new merchandise, such as apparel, jewelry, home furnishings, and toys, with no one merchandise line predominating.  Department stores may sell perishable groceries, such as fresh fruits, vegetables, and dairy products, but such sales are insignificant.  Department stores with fixed point-of-sale locations may have separate customer checkout areas in each department, central customer checkout areas, or both.

Cross-References. Establishments primarily engaged in--"
4,4552,"Warehouse Clubs, Supercenters, and Other General Merchandise Retailers","This industry comprises establishments primarily engaged in retailing new general merchandise (except department stores).  These establishments retail a general line of new merchandise, such as apparel, automotive parts, dry goods, hardware, groceries, housewares, and home furnishings, with no one merchandise line predominating.  Establishments generally known as warehouse clubs, superstores, or supercenters, and retailing a general line of merchandise in combination with a significant amount and variety of perishable groceries, are included in this industry.  This industry also includes establishments primarily engaged in retailing a general line of new and used merchandise on an auction basis.

Illustrative Examples:

Dollar stores
General merchandise (new and used) auction houses
General merchandise showrooms
General merchandise trading posts
General stores
Home and auto supply stores
Superstores (i.e., food and general merchandise)
Variety stores
Warehouse clubs (i.e., food and general merchandise)  


Cross-References. Establishments primarily engaged in--"
4,4561,Health and Personal Care Retailers,"This industry comprises establishments generally known as pharmacies and drug retailers engaged in retailing prescription or nonprescription drugs and medicines.

Cross-References. Establishments primarily engaged in--"
4,4571,Gasoline Stations,"This industry group comprises establishments primarily engaged in retailing automotive fuels (e.g., gasoline, diesel fuel, gasohol, alternative fuels) and automotive oils or retailing these products in combination with convenience store items.  These establishments have specialized equipment for storing and dispensing automotive fuels.
"
4,4572,Fuel Dealers,"This industry comprises establishments primarily engaged in retailing heating oil, liquefied petroleum (LP) gas, and other fuels via direct selling (i.e., home delivery).

Cross-References. Establishments primarily engaged in--"
4,4581,Clothing and Clothing Accessories Retailers,"This industry comprises establishments primarily engaged in retailing general or specialized lines of new clothing and clothing accessories, such as hats and caps, costume jewelry, gloves, handbags, ties, wigs, toupees, and belts.  These establishments may provide basic alterations, such as hemming, taking in or letting out seams, or lengthening or shortening sleeves.

Cross-References. Establishments primarily engaged in--"
4,4582,Shoe Retailers,"This industry comprises establishments primarily engaged in retailing all types of new footwear (except hosiery and specialty sports footwear, such as golf shoes, bowling shoes, and cleated shoes).  Establishments primarily engaged in retailing new tennis shoes or sneakers are included in this industry.

Cross-References. Establishments primarily engaged in--"
4,4583,"Jewelry, Luggage, and Leather Goods Retailers","This industry group comprises establishments primarily engaged in retailing new jewelry (except costume jewelry); new sterling and plated silverware; new watches and clocks; and new luggage with or without a general line of new leather goods and accessories, such as hats, gloves, handbags, ties, and belts.
"
4,4591,"Sporting Goods, Hobby, and Musical Instrument Retailers","This industry group comprises establishments primarily engaged in retailing new sporting goods, toys, games, hobby supplies, sewing supplies, needlework accessories, and musical instruments.
"
4,4592,Book Retailers and News Dealers,"This industry comprises establishments primarily engaged in retailing new books, newspapers, magazines, and other periodicals (without publishing).

Cross-References. Establishments primarily engaged in--"
4,4593,Florists,"This industry comprises establishments generally known as florists primarily engaged in retailing cut flowers, floral arrangements, and potted plants grown elsewhere.  These establishments may prepare the arrangements they sell.

Cross-References. Establishments primarily engaged in--"
4,4594,"Office Supplies, Stationery, and Gift Retailers","This industry group comprises establishments primarily engaged in retailing new office supplies, stationery, gifts, novelty merchandise, and souvenirs.
"
4,4595,Used Merchandise Retailers,"This industry comprises establishments primarily engaged in retailing used merchandise, antiques, and secondhand goods (except motor vehicles, such as automobiles, RVs, motorcycles, and boats; motor vehicle parts; tires; and mobile homes).  This industry includes establishments retailing used merchandise on an auction basis.

Illustrative Examples:

Antique retailers
Used household appliance retailers
Used book retailers
Used merchandise thrift shops
Used clothing retailers
Used sporting goods retailers


Cross-References. Establishments primarily engaged in--"
4,4599,Other Miscellaneous Retailers,"This industry group comprises establishments primarily engaged in retailing miscellaneous specialized lines of merchandise (except motor vehicle and parts dealers; building material and garden equipment and supplies dealers; food and beverage retailers; furniture, home furnishings, electronics, and appliance retailers; general merchandise retailers; health and personal care retailers; gasoline stations and fuel dealers; clothing, clothing accessories, shoe, and jewelry retailers; sporting goods, hobby, and musical instrument retailers; book retailers and news dealers; florists; office supplies, stationery, and gift retailers; and used merchandise retailers).
"
4,4811,Scheduled Air Transportation,"This industry comprises establishments primarily engaged in providing air transportation of passengers and/or cargo over regular routes and on regular schedules.  Establishments in this industry operate flights even if partially loaded.  Establishments primarily engaged in providing scheduled air transportation of mail on a contract basis are included in this industry.

Illustrative Examples:

Air commuter carriers, scheduled
Scheduled air passenger carriers
Scheduled air cargo carriers (except air couriers)
Scheduled helicopter passenger carriers 


Cross-References. Establishments primarily engaged in--"
4,4812,Nonscheduled Air Transportation,"This industry comprises establishments primarily engaged in (1) providing air transportation of passengers and/or cargo with no regular routes and regular schedules or (2) providing specialty flying services with no regular routes and regular schedules using general purpose aircraft.  These establishments have more flexibility with respect to choice of airports, hours of operation, load factors, and similar operational characteristics.

Illustrative Examples:

Air taxi services
Nonscheduled air freight transportation services
Aircraft charter services
Nonscheduled air passenger transportation services


Cross-References. Establishments primarily engaged in--"
4,4821,Rail Transportation,"This industry comprises establishments primarily engaged in operating railroads (except street railroads, commuter rail, urban rapid transit, and scenic and sightseeing trains).  Line-haul railroads and short-line railroads are included in this industry.

Cross-References. Establishments primarily engaged in--"
4,4831,"Deep Sea, Coastal, and Great Lakes Water Transportation","This industry comprises establishments primarily engaged in providing deep sea, coastal, Great Lakes, and St. Lawrence Seaway water transportation.  Marine transportation establishments using the facilities of the St. Lawrence Seaway Authority Commission are considered to be using the Great Lakes Water Transportation System.

Cross-References. Establishments primarily engaged in--"
4,4832,Inland Water Transportation,"This industry comprises establishments primarily engaged in providing inland water transportation of passengers and/or cargo on lakes, rivers, or intracoastal waterways (except on the Great Lakes System).

Cross-References. Establishments primarily engaged in--"
4,4841,General Freight Trucking,"This industry group comprises establishments primarily engaged in providing general freight trucking.  General freight trucking establishments handle a wide variety of commodities, generally palletized, and transported in a container or van trailer.  The establishments of this industry group provide a combination of the following network activities: local pick-up, local sorting and terminal operations, line-haul, destination sorting and terminal operations, and local delivery.
"
4,4842,Specialized Freight Trucking,"This industry group comprises establishments primarily engaged in providing local or long-distance specialized freight trucking.  The establishments of this industry are primarily engaged in the transportation of freight which, because of size, weight, shape, or other inherent characteristics, requires specialized equipment, such as flatbeds, tankers, or refrigerated trailers.  This industry includes the transportation of used household, institutional, and commercial furniture and equipment.
"
4,4851,Urban Transit Systems,"This industry comprises establishments primarily engaged in operating local and suburban passenger transit systems over regular routes and on regular schedules within a metropolitan area and its adjacent nonurban areas.  Such transportation systems involve the use of one or more modes of transport including light rail, commuter rail, subways, and streetcars, as well as buses and other motor vehicles.

Cross-References. Establishments primarily engaged in--"
4,4852,Interurban and Rural Bus Transportation,"This industry comprises establishments primarily engaged in providing bus passenger transportation over regular routes and on regular schedules, principally outside a single metropolitan area and its adjacent nonurban areas.

Cross-References. Establishments primarily engaged in--"
4,4853,Taxi and Limousine Service,"This industry group comprises establishments primarily engaged in providing passenger transportation by automobile or van or providing an array of specialty and luxury passenger transportation services via limousine or luxury sedan generally on a reserved basis.  These establishments do not operate over regular routes and on regular schedules.
"
4,4854,School and Employee Bus Transportation,"This industry comprises establishments primarily engaged in providing buses and other motor vehicles to transport pupils to and from school or employees to and from work.

Cross-References. Establishments primarily engaged in--"
4,4855,Charter Bus Industry,"This industry comprises establishments primarily engaged in providing buses for charter.  These establishments provide bus services to meet customers' road transportation needs and generally do not operate over fixed routes and on regular schedules.

Cross-References. Establishments primarily engaged in--"
4,4859,Other Transit and Ground Passenger Transportation,"This industry comprises establishments primarily engaged in providing other transit and ground passenger transportation (except urban transit systems, interurban and rural bus transportation, taxi and ridesharing services, school and employee bus transportation, charter bus services, and limousine services (except shuttle services)).  Shuttle services (except school and employee bus) and special needs transportation services are included in this industry.  Shuttle services establishments generally travel within a metropolitan area and its adjacent nonurban areas on regular routes, on regular schedules and provide services between hotels, airports, or other destination points.  Establishments in the Special Needs Transportation industry provide passenger transportation for the disabled or elderly.  These establishments may use specially equipped vehicles to provide passenger transportation.

Cross-References. Establishments primarily engaged in--"
